split,generation,filters,kernel_size,dense_units,dropout,learning_rate,batch_size,epochs,MAPE_cv_mean,MAE_cv_mean,RMSE_cv_mean,R2_cv_mean
60:40,1,16,4,32,0.2,0.0003,32,40,26.145442005291528,13854.552120535716,17882.953455821138,-0.144307912711127
60:40,1,48,2,16,0.3,0.003,32,80,26.39870871560916,14547.144464285713,18528.942407802133,-0.24421946058777708
60:40,1,48,4,32,0.1,0.003,16,60,26.514655666420122,14281.024174107142,18325.19091181499,-0.24216771828663597
60:40,1,24,2,64,0.4,0.001,16,80,25.6584514536778,13726.139174107142,17770.12280403876,-0.1391000128332966
60:40,1,32,3,32,0.1,0.0001,16,80,26.59136198134803,14028.39002232143,18030.328085203477,-0.16221857630863293
60:40,1,16,4,64,0.2,0.001,8,80,26.06138731263074,14001.60982142857,18040.67024419245,-0.1734845779619137
60:40,1,48,3,16,0.4,0.0003,32,80,25.90810863890019,13635.039598214285,17674.29737066014,-0.12166986797771777
60:40,1,48,4,16,0.2,0.0003,16,40,25.8847702138412,13808.328281250002,17872.960120825992,-0.14609975239573414
60:40,2,16,4,64,0.2,0.001,16,80,25.981539817764165,13827.668861607142,17879.740414420023,-0.14829530768482607
60:40,2,16,4,32,0.1,0.001,8,80,25.669278645591344,13998.53828125,18088.015566978574,-0.19271532583826592
60:40,3,16,4,16,0.3,0.003,8,80,26.033274090273153,14019.17078125,18077.468173130324,-0.18127579781220143
60:40,3,48,4,16,0.2,0.0003,8,80,26.63026381767194,14019.376205357144,18055.060277760196,-0.1801720647829605
60:40,3,16,4,32,0.1,0.003,8,40,26.29015239238957,14346.895825892856,18413.286324766268,-0.24085522610963905
60:40,3,48,2,16,0.4,0.001,32,60,25.91229582981959,14038.932656250001,18138.114881536123,-0.19966866338017666
60:40,3,24,4,32,0.4,0.001,8,80,26.24424460433216,14292.66359375,18355.078461748617,-0.23608791992416234
60:40,3,24,2,64,0.4,0.001,16,40,25.678712494011528,13888.1796875,17906.43727508072,-0.15991832539676853
60:40,4,48,2,32,0.4,0.001,8,80,26.468620606391653,14138.402611607142,18172.803595572925,-0.20728887665424117
60:40,4,48,4,16,0.2,0.0003,16,80,26.28761163324723,13998.246004464285,18029.906768204055,-0.1770198399417026
60:40,4,24,4,32,0.4,0.001,16,80,25.5638341507212,13906.66234375,18017.168602912472,-0.17761049771925994
60:40,4,24,2,64,0.1,0.001,16,80,25.969456381802935,13775.85,17816.14681692275,-0.14118445686462705
60:40,4,16,4,32,0.2,0.001,8,80,26.24603412111092,13965.458772321426,18007.599735159012,-0.16829491128204893
70:30,1,48,2,16,0.3,0.003,16,60,35.93469416828851,16104.585804115855,19646.924694116136,-1.7488082134286547
70:30,1,16,2,16,0.1,0.003,32,80,34.423487946700696,15624.864233993902,19185.701196889626,-1.4298403254978695
70:30,1,16,2,16,0.3,0.0003,16,40,35.96607178851106,15928.888071646343,19498.195433193916,-1.69367358538621
70:30,1,48,2,16,0.3,0.003,8,60,35.0423382145298,15870.299714176828,19471.181918852853,-1.5075814424985716
70:30,1,64,4,64,0.2,0.0003,32,40,35.010204738500555,15710.17879192073,19274.354347257962,-1.5347337204314342
70:30,1,24,3,64,0.1,0.001,16,60,34.0563578278438,15501.680583079267,19087.14788086614,-1.3219483295748133
70:30,1,64,2,64,0.2,0.003,16,40,35.100342772155045,15906.162214176831,19484.39299304663,-1.55860716176575
70:30,1,48,4,16,0.3,0.003,16,80,35.071314711848345,15840.649390243902,19441.648807025147,-1.5236762213990769
70:30,2,48,2,16,0.3,0.0001,8,60,36.275242128837576,16242.24500762195,19804.35676380987,-1.8769919303854117
70:30,2,24,2,16,0.1,0.003,8,40,35.613123256931694,16152.64152057927,19710.241980946168,-1.7206929267520075
70:30,2,16,2,16,0.1,0.0001,32,80,33.997870980300924,15311.88269817073,18908.822875965452,-1.2689260731306262
70:30,2,64,2,16,0.3,0.0001,8,40,33.34692453538235,14956.210994664632,18551.716136985655,-1.195080211791209
70:30,2,16,2,16,0.3,0.0003,32,60,34.047403779231885,15248.484012957317,18826.605953838734,-1.245244863366381
70:30,3,24,2,16,0.1,0.003,32,40,33.370280246304574,15423.447980182926,19023.644491565738,-1.241658970687745
70:30,3,16,2,16,0.3,0.0003,16,60,32.37849717363353,14885.352610518292,18455.30451629076,-1.0488274009664826
70:30,3,24,2,16,0.1,0.0001,8,80,34.9827399912793,15510.291272865852,19088.70563222974,-1.4538726125462234
70:30,3,16,2,16,0.1,0.003,32,40,32.71974657463383,15069.359298780488,18630.844760431373,-1.0489237045156383
70:30,3,24,2,16,0.1,0.0001,16,40,35.26913503472889,15841.296855945122,19374.46048782157,-1.5041399618441795
70:30,3,16,2,16,0.1,0.0003,8,40,34.64675886953411,15210.20525914634,18826.68892935045,-1.4220120523674784
70:30,4,16,2,16,0.3,0.001,32,60,36.61081101372543,16262.38416539634,19770.087258072348,-1.8191100597028682
70:30,4,16,2,16,0.4,0.0003,16,60,36.637741931472966,16135.308022103656,19712.23261072429,-1.8442838677123965
70:30,4,48,2,16,0.1,0.0003,8,40,34.963340646765225,15729.412195121951,19306.043774471233,-1.576304381516519
80:20,1,64,2,16,0.4,0.0001,16,60,43.60052801451663,15700.552992021278,19337.66758344072,-0.9338890483226543
80:20,1,48,2,32,0.1,0.003,16,60,46.01541706978104,16515.75935837766,20029.431080795086,-1.1811516990583855
80:20,1,24,2,64,0.3,0.0003,16,80,44.23450263371965,15706.132529920214,19255.572604763132,-0.965434052688378
80:20,1,48,3,16,0.3,0.001,16,40,44.37259392809428,15809.648570478725,19385.238115787517,-0.9741516894725623
80:20,1,32,3,64,0.3,0.0003,16,40,44.16659125352231,15597.020678191486,19111.921061852114,-0.8877948291092341
80:20,1,16,4,64,0.4,0.001,8,80,44.25446182389181,15942.319414893616,19559.216615801484,-0.9777837465230963
80:20,1,32,2,64,0.3,0.001,8,80,45.46840571788299,16284.476545877658,19828.731138556326,-1.0811963724111677
80:20,1,32,3,64,0.3,0.0001,8,60,45.39586126828458,16148.61522606383,19717.144185748664,-1.017347440399174
80:20,2,48,2,64,0.3,0.003,8,80,48.64641333498214,17343.288813164894,20810.397871268942,-1.5010265339870297
80:20,2,32,3,16,0.3,0.001,16,40,43.9659745163505,15713.268118351063,19273.03242942137,-0.8937946047876979
80:20,2,32,4,64,0.4,0.0003,8,60,44.972330084021415,16060.454122340423,19634.47209792743,-1.0575407019475667
80:20,2,24,2,16,0.4,0.0001,16,60,44.99760435048736,15983.03989361702,19595.641006770842,-0.9679630163537327
80:20,2,48,4,16,0.3,0.001,16,40,46.6869432798487,16662.884607712764,20185.332259990024,-1.3046566833011757
80:20,3,64,3,16,0.3,0.0001,16,60,45.77028072045441,16070.790591755318,19628.504425000872,-1.0101823162306873
80:20,3,32,3,64,0.4,0.0003,16,40,43.288596765478815,15385.509657579789,18954.37208344548,-0.8977073570254479
80:20,3,32,4,64,0.4,0.0003,16,40,43.153902940861215,15395.072440159574,18977.77681226204,-0.8287095282559654
80:20,3,32,3,64,0.3,0.0003,16,60,43.062632398263176,15349.763031914894,18938.489813730568,-0.830032651170826
80:20,3,64,2,64,0.1,0.0001,8,60,46.35617050215436,16571.000864361704,20152.145630976003,-1.1618377616169366
80:20,4,64,4,64,0.4,0.0001,16,40,45.8709790351003,16387.873271276596,19948.051122174882,-1.114957286629358
80:20,4,64,2,16,0.3,0.0001,16,40,43.29915367140471,15514.027027925531,19125.418735132775,-0.8956253218885541
80:20,4,64,3,64,0.4,0.0001,32,60,43.7985796606964,15600.739544547872,19197.72446983936,-0.9020300292870218
80:20,4,32,2,64,0.4,0.003,16,60,44.39986175475429,16030.442503324468,19594.24414019248,-1.0385539867535698
80:20,4,32,3,64,0.3,0.0001,16,60,44.545873493616924,15973.166555851063,19537.981393328875,-0.9565341535757437
80:20,4,64,3,16,0.4,0.0001,16,60,44.41657188462828,15865.644830452127,19426.921655438076,-0.9858287529997218
90:10,1,24,3,32,0.4,0.001,32,80,50.8770563902449,17043.328095518867,20342.216700032244,-2.046092266384375
90:10,1,48,3,32,0.2,0.001,32,60,52.52022885293239,17641.413354952827,20943.236716706902,-2.2543219402810544
90:10,1,32,2,64,0.2,0.0003,16,40,47.70443236469633,16000.474616745283,19469.2227810941,-1.5222182840169307
90:10,1,32,4,32,0.1,0.0003,8,60,51.840462250618124,17517.219472287736,20828.949919141025,-2.156588878084649
90:10,1,48,2,64,0.1,0.003,32,40,50.152008198663886,16985.6375884434,20298.62405656422,-1.9516110537078597
90:10,1,32,2,16,0.4,0.003,8,40,53.992172327253606,18144.737146226416,21407.527899401943,-2.48499532407887
90:10,1,16,3,16,0.2,0.001,8,80,49.88304925853748,16656.83617334906,20073.341406989523,-1.8165988714141932
90:10,1,48,4,16,0.3,0.003,8,80,59.79663195087936,19999.81359080189,23211.4542441182,-3.4154575362584554
90:10,2,48,2,64,0.1,0.003,16,40,60.76045331162872,20706.74423643868,23826.96171533994,-4.128869837709653
90:10,2,48,2,16,0.1,0.003,32,40,50.633487018967664,17182.922641509434,20507.95462429987,-2.0421435835491346
90:10,2,32,2,64,0.1,0.003,32,40,51.18204952404894,17253.900265330187,20554.28539198274,-2.185686107622151
90:10,2,16,3,16,0.2,0.001,32,80,46.264320684724154,15493.30829893868,18933.724832831103,-1.3883218867013174
90:10,2,32,2,32,0.4,0.003,16,40,48.4229515692203,16306.111379716982,19698.22700372435,-1.6909912520362318
90:10,2,64,2,64,0.4,0.0001,32,40,48.908495665555414,16327.384242334903,19715.314135605986,-1.7108052200098023
90:10,3,24,2,64,0.2,0.003,32,80,48.393301853149865,16351.765964033018,19743.875579776322,-1.6733074913438901
90:10,3,16,3,16,0.4,0.001,32,80,51.90643431678482,17329.84367629717,20625.377127710148,-2.1607129967049237
90:10,3,48,2,16,0.1,0.001,32,40,50.20720500505303,17037.360996462263,20349.323162519322,-1.9852043718600065
90:10,3,48,3,64,0.2,0.003,16,80,53.729837664150935,18102.159625589622,21363.344570786096,-2.506313623904056
90:10,3,64,2,64,0.4,0.003,32,40,53.57933773518952,18233.7640182783,21483.67878363172,-2.567797134335552
90:10,3,16,2,16,0.1,0.001,32,80,50.24311638381762,16762.98347582547,20109.79086973753,-1.910786074587255
90:10,4,16,4,16,0.2,0.0003,32,60,50.247885083080824,16711.376960495283,20107.75366911455,-1.9083470292672176
90:10,4,16,2,16,0.1,0.001,32,60,44.63162441981429,15122.953655660376,18584.963851290737,-1.2110086789249597
90:10,4,24,3,64,0.2,0.003,32,80,51.233133089281104,17241.9031692217,20555.49320998101,-2.069290440276332
90:10,4,32,2,64,0.2,0.0003,16,80,48.55662772198642,16363.947331957548,19776.749123889167,-1.6730235903845792
90:10,4,32,3,16,0.2,0.003,16,40,51.99499714052278,17686.451208726416,20989.693904932014,-2.3017331498417426
